"id"	"hs96"	"name"
"01030622"	"030622"	"Crustaceans, Other Than Frozen, Including Flours, Meals And Pellets Of Crustaceans, Fit For Human Consumption"
"01030623"	"030623"	"Crustaceans, Other Than Frozen, Including Flours, Meals And Pellets Of Crustaceans, Fit For Human Consumption"
"01030624"	"030624"	"Crustaceans, Other Than Frozen, Including Flours, Meals And Pellets Of Crustaceans, Fit For Human Consumption"
"01030629"	"030629"	"Crustaceans, Other Than Frozen, Including Flours, Meals And Pellets Of Crustaceans, Fit For Human Consumption"
"010307"	"0307"	"Molluscs"
"01030710"	"030710"	"Oysters, Fresh, Chilled, Frozen, Dried, Salted Or In Brine"
"01030721"	"030721"	"Molluscs And Aquatic Invertebrates, N.E.S., Fresh Or Chilled"
"01030729"	"030729"	"Other Molluscs/Aquatic Invertebrates, Frozen, Dried, Salted Or In Brine Incl Flours, Meals Pellets Of Aquatic Invbrts Oth Thn Crustaceans Hum Consmp"
"01030731"	"030731"	"Molluscs And Aquatic Invertebrates, N.E.S., Fresh Or Chilled"
"01030739"	"030739"	"Other Molluscs/Aquatic Invertebrates, Frozen, Dried, Salted Or In Brine Incl Flours, Meals Pellets Of Aquatic Invbrts Oth Thn Crustaceans Hum Consmp"
"01030741"	"030741"	"Cuttlefish, Octopus And Squid, Fresh Or Chilled"
"01030749"	"030749"	"Cuttlefish, Squid And Octopus, Frozen, Dried, Salted, Or In Brine; Flours, Meals And Pellets Thereof, Fit For Human Consumption"
"01030751"	"030751"	"Molluscs And Aquatic Invertebrates, N.E.S., Fresh Or Chilled"
"01030759"	"030759"	"Cuttlefish, Squid And Octopus, Frozen, Dried, Salted, Or In Brine; Flours, Meals And Pellets Thereof, Fit For Human Consumption"
"01030760"	"030760"	"Snails, Except Sea Snails, Fresh, Chilled Or Frozen"
"01030791"	"030791"	"Molluscs And Aquatic Invertebrates, N.E.S., Fresh Or Chilled"
"01030799"	"030799"	"Other Molluscs/Aquatic Invertebrates, Frozen, Dried, Salted Or In Brine Incl Flours, Meals Pellets Of Aquatic Invbrts Oth Thn Crustaceans Hum Consmp"
"010401"	"0401"	"Milk and cream, neither concentrated nor sweetened"
"01040110"	"040110"	"Milk Of A Fat Content, By Weight, Not Exceeding 1%"
"01040120"	"040120"	"Milk Of A Fat Content, By Weight, Exceeding 1% But Not Exceeding 6%"
"01040130"	"040130"	"Cream Of A Fat Content, By Weight, Exceeding 6%"
"010402"	"0402"	"Milk and cream, concentrated or sweetened"
"01040210"	"040210"	"Milk, In Solid Form, Of A Fat Content, By Weight, Not Exceeding 1.5%"
"01040221"	"040221"	"Milk And Cream, In Solid Form, Of A Fat Content, By Weight, Exceeding 1.5%"
"01040229"	"040229"	"Milk And Cream, In Solid Form, Of A Fat Content, By Weight, Exceeding 1.5%"
"01040291"	"040291"	"Milk And Cream, Concentrated, Not In Solid Form, Not Containing Added Sugar Or Other Sweetening Matter"
"01040299"	"040299"	"Milk And Cream, Not In Solid Form, Containing Added Sugar Or Other Sweetening Matter"
"010403"	"0403"	"Buttermilk, cream, yogurt etc"
"01040310"	"040310"	"Yogurt, Whether Or Not Concentrated Or Containing Added Sugar Or Other Sweetening Matter Or Flavored Or Containing Added Fruit, Or Nuts Or Cocoa"
"01040390"	"040390"	"Buttermilk, Curdled Milk And Cream, Kephir And Other Fermented Or Acidified Milk Or Cream"
"010404"	"0404"	"Whey, natural milk products nes"
"01040410"	"040410"	"Whey And Modified Whey, Whether Or Not Concentrated Or Containing Added Sugar Or Other Sweetening Matter"
"01040490"	"040490"	"Products Consisting Of Natural Milk Constituents, N.E.S."
"010405"	"0405"	"Butter and other fats and oils derived from milk"
"01040510"	"040510"	"Butter And Other Fats And Oils Derived From Milk"
"01040520"	"040520"	"Butter And Other Fats And Oils Derived From Milk"
"01040590"	"040590"	"Butter And Other Fats And Oils Derived From Milk"
"010406"	"0406"	"Cheese and curd"
"01040610"	"040610"	"Fresh (Unripened Or Uncured) Cheese, Including Whey Cheese, And Curd"
"01040620"	"040620"	"Grated Or Powdered Cheese, Of All Kinds"
"01040630"	"040630"	"Processed Cheese, Not Grated Or Powdered"
"01040640"	"040640"	"Blue"
"01040690"	"040690"	"Cheese, N.E.S."
"010407"	"0407"	"Birds eggs, in shell, fresh, preserved or cooked"
"01040700"	"040700"	"Birds Eggs In Shell, Fresh, Preserved Or Cooked"
"010408"	"0408"	"Birds eggs, other than in shell, egg yolks"
"01040811"	"040811"	"Birds Eggs, Dried"
"01040819"	"040819"	"Birds Eggs, Other Than Dried"
"01040891"	"040891"	"Birds Eggs, Dried"
"01040899"	"040899"	"Birds Eggs, Other Than Dried"
"010409"	"0409"	"Honey, natural"
"01040900"	"040900"	"Natural Honey"
"010410"	"0410"	"Edible products of animal origin, nes"
"01041000"	"041000"	"Edible Food Products Of Animal Origin, N.E.S."
"010501"	"0501"	"Hair, human, unworked, waste of human hair"
"01050100"	"050100"	"Human Hair, Unworked, Whether Or Not Washed Or Scoured; Waste Of Human Hair"
"010502"	"0502"	"Bristle, hair (pig, badger), brush making hair, waste"
"01050210"	"050210"	"3911, Hog Or Boar Bristles And Hair; Badger And Other Brush Making Hair; Waste Of Such Bristles Or Hair\"\""
"01050290"	"050290"	"3911, Hog Or Boar Bristles And Hair; Badger And Other Brush Making Hair; Waste Of Such Bristles Or Hair\"\""
"01050300"	"050300"	"Horsehair And Horsehair Waste, Whether Or Not Put Up As A Layer With Or Without Supporting Material"
"010504"	"0504"	"Guts, bladders and stomachs of animals except fish"
"01050400"	"050400"	"3911s, Bladders And Stomachs Of Animals (Other Than Fish), Whole And Pieces Thereof\"\""
"010505"	"0505"	"Feathers, down, skins, other parts of birds, unworked"
"01050510"	"050510"	"3911d Skins And Other Parts Of Birds Including Feathers Or Down, Not Further Worked Than Cleaned Or Treated; Powder And Waste Of Feathers Or Parts\"\""
"01050590"	"050590"	"3911d Skins And Other Parts Of Birds Including Feathers Or Down, Not Further Worked Than Cleaned Or Treated; Powder And Waste Of Feathers Or Parts\"\""
"010506"	"0506"	"Bones and horn-cores unworked or simply worked"
"01050610"	"050610"	"3911s And Horn"
"01050690"	"050690"	"3911s And Horn"
"010507"	"0507"	"Ivory,whalebone etc, unworked, simply worked, unshaped"
"01050710"	"050710"	"3911ry, Tortoise\"\""
"01050790"	"050790"	"3911ry, Tortoise\"\""
"010508"	"0508"	"Coral, shell, cuttle bone, etc, unworked, and waste"
"01050800"	"050800"	"Coral, Shells And Cuttle"
"01050900"	"050900"	"Natural Sponges Of Animal Origin"
"010510"	"0510"	"Ambergris, civet, musk, etc for pharmaceutical use"
"01051000"	"051000"	"3911ergris, Castoreum, Civit And Musk; Cantharides; Bile; Glands And Other Animal Products Used In The Preparation Of Pharmaceutical Products\"\""
"010511"	"0511"	"Animal products nes, dead animals (non-food)"
"01051110"	"051110"	"Bovine Semen"
"01051191"	"051191"	"Fish Or Crustacean, Mollusc Or Other Aquatic Invertebrate Products, Unfit For Human Consumption"
"01051199"	"051199"	"3911mal Products, N.E.S.\"\""
"020601"	"0601"	"Bulbs, tubers, corms, etc., chicory plant (non-food)"
"02060110"	"060110"	"Bulbs, Tubers, Tuberous Roots, Corms, Crowns And Rhizomes, Dormant, In Growth Or Flower; Chickory Plants And Roots N.E.S.,"
"02060120"	"060120"	"Bulbs, Tubers, Tuberous Roots, Corms, Crowns And Rhizomes, Dormant, In Growth Or Flower; Chickory Plants And Roots N.E.S.,"
"020602"	"0602"	"Live plants nes, roots, cuttings, mushroom spawn"
"02060210"	"060210"	"Live Plants, N.E.S. (Including Their Roots), Cuttings And Slips; Mushroom Spawn"
"02060220"	"060220"	"Live Plants, N.E.S. (Including Their Roots), Cuttings And Slips; Mushroom Spawn"
"02060230"	"060230"	"Live Plants, N.E.S. (Including Their Roots), Cuttings And Slips; Mushroom Spawn"
